GROUP,sales1ST,rateoveral
BTS,292481,-3.82320947
EXO,81806,0.9572731995
TVXQ,324299,0.9051166757
Super Junior,621204,-5.631086066
GOT7,547952,-1.063931703
Stray Kids,558354,1.416325989
TXT,438788,1.018314084
ONEUS,609751,1.018314084
ATEEZ,584686,-0.08221716151
Wanna One,-161732,1.607360095
Monsta X,498464,0.6503422241
Seventeen,510004,-4.26721569
The Boyz,573359,0.5617504912
BigBang,500228,0.4514080643
Shinee,562808,0.08275744281
NUEST,608504,1.747008744
NCT 127,521615,0.9915672905
NCT DREAM,535883,-0.8259671978
AB6IX,474508,1.568422877
CIX,568793,1.378548719
GRP 2PM,536124,1.061711372
NUEST W,334475,1.719809846
HOTSHOT,640105,-4.702783697
JBJ95,590506,1.534352843
VICTON,619641,-0.8427653212
WINNER,549686,1.098484052
IKON,481929,1.723172072
BAP,613178,-0.6430659752
BTOB,620886,0.9514713094
BLOCK B,610924,0.3499014814
INFINITE,591413,-0.783163377
